"family","count"
"Air Pollution",3
"Built environment",4
"Indoor air",1
"Lifestyle",4
"Metals",6
"Meteorological",1
"Natural Spaces",1
"Organochlorines",1
"Organophosphate pesticides",2
"Per- and polyfluoroalkyl substances (PFAS)",2
"Phenols",1
"Phthalates",4
